Symbol
AAPL
MSFT
GOOGL
AMZN
TSLA
NVDA
META
JPM
V
WMT
PG
UNH
HD
DIS
MA
PYPL
INTC
CSCO
PEP
KO
XOM
CVX
BA
MMM
ABBV
PFE
MRK
ORCL
ADBE
